Drug,Gene
AT13148,WWC1
AT13148,ZNF860
AT13148,FCHO2
AT13148,ZNF502
AT13148,CCDC108
AT13148,GRPEL1
AT13148,GOLGA8A
AT13148,CABP5
AT13148,PEX5L
AT13148,EPYC
AT13148,TRERF1
AT13148,TMPRSS11E
AT13148,CPEB2
AT13148,Unnamed: 17166
AT13148,COPB2
AT13148,SNAI3
AT13148,PNP
AT13148,FAM181A
AT13148,FOPNL
AT13148,MAT1A
AT13148,PTPRC
AT13148,OR7E24
AT13148,LGALS14
AT13148,GLCE
AT13148,PRR25
AT13148,DPF3
AT13148,LINC00085
AT13148,MT4
AT13148,ST6GALNAC2
AT13148,PMEL
AT13148,SYNPO2
AT13148,DNTT
AT13148,LINC00442
AT13148,CACNA1G
AT13148,ABRACL
AT13148,C4orf3
AT13148,NUB1
AT13148,APEX1
AT13148,DRAXIN
AT13148,LYPD6
AT13148,TCN1
AT13148,PSMD3
AT13148,CCBL2
AT13148,SCAPER
AZ6102,STX4
AZ6102,GABBR2
AZ6102,PCDH8
AZ6102,MATN2
AZ6102,RASGRP1
AZ6102,STPG2
AZ6102,CXorf40A
AZ6102,SYCE3
AZ6102,TANGO6
AZ6102,AKAP4
AZ6102,Unnamed: 5287
AZ6102,GP6
AZ6102,FPR3
AZ6102,DSC2
AZ6102,SLC38A3
AZ6102,PERP
AZ6102,CD3E
AZ6102,KRT73
AZ6102,SSU72P8
AZ6102,NBR1
AZ6102,TSPAN19
AZ6102,PDDC1
AZ6102,GPC4
AZ6102,RNF222
AZ6102,WNT1
AZ6102,TNFRSF10C
AZ6102,RDH16
AZ6102,COL5A1
AZ6102,SPATA31D1
AZ6102,ARTN
AZ6102,NWD1
AZ6102,T
AZ6102,RCAN3
AZ6102,CXCR4
AZ6102,C1orf228
AZ6102,Unnamed: 17145
AZ6102,CNTD2
AZ6102,L3MBTL4
AZ6102,CA4
AZ6102,PRAMEF12
AZ6102,COL12A1
AZ6102,LSR
AZ6102,MTUS2
AZ6102,S100A7A
AZ6102,RBP2
AZ6102,MEGF10
AZ6102,RNF115
AZ6102,FAM151B
AZ6102,MS4A1
AZ6102,CD164L2
AZ6102,HIGD1B
AZ6102,SIGLEC7
AZ6102,PKP3
AZ6102,HEY2
AZ6102,PPP1R3B
AZ6102,RHPN2
AZ6102,HES4
AZ6102,NHLH2
AZ6102,OR10A5
AZ6102,ST3GAL2
AZ6102,RNF2
AZ6102,CD52
AZ6102,DAND5
AZ6102,KRTAP5-2
AZ6102,ACVR1
AZ6102,ANO4
AZ6102,WNK2
AZ6102,TTI2
AZ6102,CYP1A1
AZ6102,CALML5
AZ6102,CD14
AZ6102,RTKN
AZ6102,TFCP2L1
AZ6102,NFKBID
AZ6102,RELL1
AZ6102,P2RY14
AZ6102,SLCO1C1
AZ6102,ZSCAN23
AZ6102,DSP
AZ6102,WWC1
AZ6102,AXDND1
AZ6102,SRRM1
AZ6102,NUB1
AZ6102,TCTE3
AZ6102,TMPRSS11E
AZ6102,DEFB126
AZ6102,CNTNAP1
AZ6102,TCL1A
AZ6102,SLC38A2
AZ6102,GTF2E1
AZ6102,ELOVL5
AZ6102,TNFSF8
AZ6102,CDX4
AZ6102,PCM1
AZ6102,SLC25A19
AZ6102,PTPRJ
AZ6102,FGD1
AZ6102,ATP5F1
AZ6102,AMOT
AZ6102,DUSP27
AZD3759,RCAN3
AZD3759,SLC28A1
AZD3759,TMPRSS11E
AZD3759,MTUS2
AZD3759,FPR1
AZD3759,TTC28
AZD3759,C9orf139
AZD3759,TRIM23
AZD3759,STX4
AZD3759,CD53
AZD3759,NBR2
AZD3759,SLC6A14
AZD3759,KAT2B
AZD3759,RAD17
AZD3759,KCNN3
AZD3759,GPR84
AZD3759,PTCD2
AZD3759,MGAT2
AZD3759,FCGR2B
AZD3759,TIMM22
AZD3759,FAM58A
AZD3759,LSR
AZD3759,BTF3
AZD3759,GALC
AZD3759,ASMTL
AZD3759,INSL4
AZD3759,CCR6
AZD3759,CD3E
AZD3759,PROS1
AZD3759,PRAMEF12
AZD3759,PAPD4
AZD3759,C11orf53
AZD3759,SSU72P8
AZD3759,SLFN13
AZD3759,PCDH8
AZD3759,PKNOX2
AZD3759,C18orf8
AZD3759,KBTBD12
AZD3759,LCE2D
AZD3759,USP22
AZD3759,ZNF860
AZD3759,NPC1
AZD3759,CALML5
AZD3759,C18orf54
AZD3759,KIAA0226L
AZD3759,NHLH2
AZD3759,ATXN2L
AZD3759,SIRPG
AZD3759,SLC38A6
AZD3759,CYP11A1
AZD3759,TMEM54
AZD3759,DAPL1
AZD3759,PGRMC1
AZD3759,MAP7
AZD3759,TCN1
AZD3759,LINC00314
AZD3759,MS4A1
AZD3759,HES4
AZD3759,SDF4
AZD3759,DNTT
AZD3759,PRSS55
AZD3759,UPP2
AZD3759,C9orf153
AZD3759,TMEM136
AZD3759,C1orf228
AZD3759,LENEP
AZD3759,RAD52
AZD3759,SIGLEC7
AZD3759,LY86
AZD3759,FUT2
AZD3759,GPR31
AZD3759,CD164L2
AZD3759,OR14I1
AZD3759,NNAT
AZD3759,PLAC8
AZD3759,TCL1A
AZD3759,VNN2
AZD3759,IL12RB1
AZD3759,LRRC45
AZD3759,AP1S2
AZD3759,NAALADL2
AZD3759,PGC
AZD3759,TCHHL1
AZD3759,NME7
AZD3759,AIF1
AZD3759,ERBB2IP
AZD3759,TTC24
AZD3759,SLC43A1
AZD3759,OR51G2
AZD3759,AMOT
AZD3759,TANGO6
AZD3759,TNFSF8
AZD3759,FOXI3
AZD3759,CSAG1
AZD3759,HPSE2
AZD3759,FAM129C
AZD3759,MEGF10
AZD3759,MAP1LC3B
AZD3759,ZNF655
AZD3759,PERP
AZD4547,KLF1
AZD4547,CHRM5
AZD4547,TSR1
AZD4547,STX3
AZD4547,NCKAP1L
AZD4547,SYNGAP1
AZD4547,DLG3
AZD4547,ACTA2
AZD4547,SH2B2
AZD4547,HMGN2P46
AZD4547,ZFP64
AZD4547,COL5A1
AZD4547,SARS2
AZD4547,POU2AF1
AZD4547,C4orf40
AZD4547,CLDN18
AZD4547,GGTA1P
AZD4547,POU2F3
AZD4547,VIT
AZD4547,HEPACAM
AZD4547,ACRC
AZD4547,PNLIPRP1
AZD4547,MSRB2
AZD4547,PCDH15
AZD4547,IRS4
AZD4547,DFNA5
AZD4547,TMEM213
AZD4547,CHRNA2
AZD4547,FITM1
AZD4547,PSMB6
AZD4547,PNO1
AZD4547,TAGAP
AZD4547,TNNI1
AZD4547,KRTAP8-1
AZD4547,SNAI2
AZD4547,CRTAM
AZD4547,LAMP5
AZD4547,TBC1D25
AZD4547,DMRTA2
AZD4547,CELF3
AZD4547,OR4L1
AZD4547,ELN
AZD4547,IDO1
AZD4547,CIDEA
AZD4547,SNPH
AZD4547,TMEM132A
AZD4547,DFFA
AZD4547,DOCK10
AZD4547,OR10H4
AZD4547,SLCO2B1
AZD4547,MOGAT2
AZD4547,KCTD11
AZD4547,WFDC12
AZD4547,MSS51
AZD4547,TSPEAR
AZD4547,ZNF318
AZD4547,EIF2S2
AZD4547,C3orf79
AZD4547,PCOLCE2
AZD4547,RTTN
AZD4547,SSH1
AZD4547,MAGEB4
AZD4547,OPN5
AZD4547,CRNN
AZD4547,OPHN1
AZD4547,MIS12
AZD4547,KEL
AZD4547,HBB
AZD4547,MYO5B
AZD4547,ETS1
AZD4547,SPATA12
AZD4547,ST14
AZD4547,ABCB7
AZD4547,TM7SF2
AZD4547,SERPINE2
AZD4547,CD84
AZD4547,PPP1R15A
AZD4547,BSND
AZD4547,XIST
AZD4547,ORMDL1
AZD4547,ETV3
AZD4547,SP6
AZD4547,ETV3L
AZD4547,LRGUK
AZD4547,NDEL1
AZD4547,PTGDR
AZD4547,LIPG
AZD4547,SOX14
AZD4547,GJD2
AZD4547,HEPH
AZD4547,FAM154A
AZD4547,FXR2
AZD4547,CR1
AZD4547,FOXF2
AZD4547,P2RY14
AZD4547,JTB
AZD4547,CMPK2
AZD4547,PTPLA
AZD4547,NTRK1
AZD4547,ZNF195
AZD5363,CCBL2
AZD5363,CYP1A1
AZD5363,GOLGA8A
AZD5363,TLCD1
AZD5363,ZNF805
AZD5363,SYCE3
AZD5363,ZNF773
AZD5363,IGFBP5
AZD5363,SFTPD
AZD5363,CALML5
AZD5363,ZNF547
AZD5363,NREP
AZD5363,ZNF304
AZD5363,STK32B
AZD5363,ADCY9
AZD5363,ZCWPW2
AZD5363,RABL3
AZD5363,OXER1
AZD5363,ARL2BP
AZD5363,MAGEA8
AZD5363,TENM1
AZD5363,MGAT4B
AZD5363,PRAMEF12
AZD5363,UPP2
AZD5363,AGTR1
AZD5363,CPEB2
AZD5363,PTP4A2
AZD5363,ZSCAN10
AZD5363,DBX2
AZD5363,KIF13B
AZD5363,CTSH
AZD5363,ST6GALNAC1
AZD5363,INCA1
AZD5363,SLC6A14
AZD5363,TMEM235
AZD5363,PNPLA3
AZD5363,CD52
AZD5363,MGST2
AZD5363,HCFC2
AZD5363,PPCDC
AZD5363,ZNF419
AZD5363,TBC1D8
AZD5363,BRIP1
AZD5363,HMGCLL1
AZD5363,SLC43A1
AZD5363,C1orf228
AZD5363,NRIP3
AZD5363,TCEAL2
AZD5363,TRIM23
AZD5363,TADA2A
AZD5363,OVCH1
AZD5363,FPR3
AZD5363,OR5D18
AZD5363,CLTCL1
AZD5363,ZNF587
AZD5363,GJA1
AZD5363,HYAL2
AZD5363,C9orf139
AZD5363,IKZF3
AZD5363,ZFP28
AZD5363,PHRF1
AZD5363,GPRC5A
AZD5363,MORC1
AZD5363,RANBP17
AZD5363,C14orf80
AZD5363,SCAPER
AZD5363,ZNF814
AZD5363,SOCS7
AZD5363,GLUD2
AZD5363,LENEP
AZD5363,EIF4H
AZD5363,SLC1A2
AZD5363,ARHGAP36
AZD5363,TUBA3C
AZD5363,LIMD1
AZD5363,SIGLEC7
AZD5363,WDR41
AZD5363,DKK2
AZD5363,ELOVL5
AZD5363,XRRA1
AZD5363,METTL25
AZD5363,HSPBP1
AZD5363,ANGPT1
AZD5363,C11orf68
AZD5363,RNF169
AZD5363,CENPT
AZD5363,LYPD6
AZD5363,MS4A1
AZD5363,INSL4
AZD5363,ZNF583
AZD5363,CNTD2
AZD5363,Unnamed: 17092
AZD5363,TMEM39A
AZD5363,SIAH1
AZD5363,CLEC14A
AZD5363,ANKS6
AZD5363,CLSTN2
AZD5363,PARD3
AZD5363,ZRANB1
AZD5363,CCDC152
AZD6738,CXorf40A
AZD6738,DHRS7
AZD6738,TSPAN19
AZD6738,GP6
AZD6738,FPR3
AZD6738,DSC1
AZD6738,TCL1A
AZD6738,PRAMEF12
AZD6738,RASGRP1
AZD6738,RCAN3
AZD6738,DNTT
AZD6738,PCDHB4
AZD6738,Unnamed: 17500
AZD6738,ASAH1
AZD6738,SYCE3
AZD6738,MED31
AZD6738,ST3GAL2
AZD6738,PPP1R3B
AZD6738,FCGR2B
AZD6738,SIGIRR
AZD6738,CTAG2
AZD6738,MT1E
AZD6738,SLC35G2
AZD6738,AGMO
AZD6738,TNFSF8
AZD6738,POU3F3
AZD6738,HRASLS
AZD6738,VPREB1
AZD6738,PCDH8
AZD6738,INSL4
AZD6738,IKZF3
AZD6738,ZDHHC9
AZD6738,FABP7
AZD6738,DTWD2
AZD6738,ANO4
AZD6738,IGLL1
AZD6738,AKAP4
AZD6738,GAS2L2
AZD6738,VTCN1
AZD6738,MORF4L2
AZD6738,TBC1D9B
AZD6738,H2AFY
AZD6738,NAALADL2
AZD6738,SEMA3F
AZD6738,EMD
AZD6738,C1QBP
AZD6738,NECAB2
AZD6738,MS4A1
AZD6738,SLC4A9
AZD6738,PLCL1
AZD6738,ZSCAN4
AZD6738,KRTAP5-5
AZD6738,CDHR4
AZD6738,TYW3
AZD6738,ETV1
AZD6738,NHLH2
AZD6738,PROCR
AZD6738,SLC6A14
AZD6738,CMTM3
AZD6738,RNF115
AZD6738,PRRX2
AZD6738,NUDT15
AZD6738,C9orf173
AZD6738,OR2L13
AZD6738,TMEM69
AZD6738,SSU72P8
AZD6738,MEGF10
AZD6738,TMEM31
AZD6738,PGAP2
AZD6738,ST6GALNAC2
AZD6738,RHPN2
AZD6738,SYTL2
AZD6738,IGJ
AZD6738,TMEM185A
AZD6738,RAB11FIP1
AZD6738,SH2D5
AZD6738,TGFB1I1
AZD6738,TRAF3
AZD6738,TOB2P1
AZD6738,CA4
AZD6738,BSPRY
AZD6738,LMNB2
AZD6738,RNF150
AZD6738,LAMB1
AZD6738,FXYD4
AZD6738,WDR45B
AZD6738,RNASE9
AZD6738,PDIA4
AZD6738,RAB25
AZD6738,TTC28
AZD6738,MAX
AZD6738,PLCE1
AZD6738,DCTN6
AZD6738,PCM1
AZD6738,RAB11FIP4
AZD6738,DUSP8
AZD6738,MTL5
AZD6738,NPPA
AZD6738,PTGDS
AZD6738,PEAR1
AZD7762,GABBR2
AZD7762,AMOT
AZD7762,FAM19A3
AZD7762,DUSP27
AZD7762,RNF115
AZD7762,FAM107A
AZD7762,MEGF10
AZD7762,RNF222
AZD7762,RASGRP1
AZD7762,NUDT15
AZD7762,NEUROG2
AZD7762,CA9
AZD7762,TDRKH
AZD7762,LRRC8B
AZD7762,TMEM223
AZD7762,AFMID
AZD7762,SUCLA2
AZD7762,TFCP2L1
AZD7762,TLX1
AZD7762,Unnamed: 8618
AZD7762,ECI2
AZD7762,IL22RA2
AZD7762,KIAA1841
AZD7762,F8
AZD7762,ARTN
AZD7762,Unnamed: 17709
AZD7762,AKAP4
AZD7762,ZNF480
AZD7762,DBNDD1
